,entity,dates,hits
573,50 Cent,3/27/20,219
574,50 Cent,3/28/20,165
575,50 Cent,3/29/20,100
576,50 Cent,3/30/20,104
577,50 Cent,3/31/20,85
578,50 Cent,4/1/20,301
579,50 Cent,4/2/20,99
580,50 Cent,4/3/20,85
581,50 Cent,4/4/20,335
582,50 Cent,4/5/20,700
583,50 Cent,4/6/20,71
584,50 Cent,4/7/20,59
585,50 Cent,4/8/20,8612
586,50 Cent,4/9/20,4651
587,50 Cent,4/10/20,979
588,50 Cent,4/11/20,356
589,50 Cent,4/12/20,108
590,50 Cent,4/13/20,108
591,50 Cent,4/14/20,44
592,50 Cent,4/15/20,118
593,50 Cent,4/16/20,81
594,50 Cent,4/17/20,46
595,50 Cent,4/18/20,27
596,50 Cent,4/19/20,41
597,50 Cent,4/20/20,22
598,50 Cent,4/21/20,1
599,50 Cent,4/22/20,3
600,50 Cent,4/23/20,79
601,50 Cent,4/24/20,141
602,50 Cent,4/25/20,40
603,50 Cent,4/26/20,41
604,50 Cent,4/27/20,13
605,50 Cent,4/28/20,5
606,50 Cent,4/29/20,32
607,50 Cent,4/30/20,4186
608,50 Cent,5/1/20,3207
609,50 Cent,5/2/20,1580
610,Ozzy Osbourne,1/2/20,10
611,Ozzy Osbourne,1/3/20,2
612,Ozzy Osbourne,1/4/20,0
613,Ozzy Osbourne,1/5/20,2
614,Ozzy Osbourne,1/6/20,3
615,Ozzy Osbourne,1/7/20,1
616,Ozzy Osbourne,1/8/20,0
617,Ozzy Osbourne,1/9/20,4
618,Ozzy Osbourne,1/10/20,8
619,Ozzy Osbourne,1/11/20,12
620,Ozzy Osbourne,1/12/20,10
621,Ozzy Osbourne,1/13/20,3
622,Ozzy Osbourne,1/14/20,3
623,Ozzy Osbourne,1/15/20,3
624,Ozzy Osbourne,1/16/20,6
625,Ozzy Osbourne,1/17/20,9
626,Ozzy Osbourne,1/18/20,0
627,Ozzy Osbourne,1/19/20,1
628,Ozzy Osbourne,1/20/20,16
629,Ozzy Osbourne,1/21/20,11
630,Ozzy Osbourne,1/22/20,4
631,Ozzy Osbourne,1/23/20,34
632,Ozzy Osbourne,1/24/20,68
633,Ozzy Osbourne,1/25/20,8
634,Ozzy Osbourne,1/26/20,12
635,Ozzy Osbourne,1/27/20,111
636,Ozzy Osbourne,1/28/20,297
637,Ozzy Osbourne,1/29/20,174
638,Ozzy Osbourne,1/30/20,125
639,Ozzy Osbourne,1/31/20,73
640,Ozzy Osbourne,2/1/20,18
641,Ozzy Osbourne,2/2/20,19
642,Ozzy Osbourne,2/3/20,20
643,Ozzy Osbourne,2/4/20,4
644,Ozzy Osbourne,2/5/20,6
645,Ozzy Osbourne,2/6/20,41
646,Ozzy Osbourne,2/7/20,30
