,peak_duration,peak_size,entity,peak_start_date
635,0,272,Bhad Bhabie,2020-02-09
636,0,272,Bhad Bhabie,2020-02-10
637,0,266,Bhad Bhabie,2020-02-11
638,0,93,Bhad Bhabie,2020-02-12
639,0,36,Bhad Bhabie,2020-02-13
640,0,36,Bhad Bhabie,2020-02-14
641,0,40,Bhad Bhabie,2020-02-15
642,0,40,Bhad Bhabie,2020-02-16
643,0,40,Bhad Bhabie,2020-02-17
644,0,9,Bhad Bhabie,2020-02-18
645,0,2,Bhad Bhabie,2020-02-19
646,8,1980,Bhad Bhabie,2020-02-20
647,0,298,Bhad Bhabie,2020-02-29
648,6,647,Bhad Bhabie,2020-03-01
649,0,267,Bhad Bhabie,2020-03-08
650,0,41,Bhad Bhabie,2020-03-09
651,0,26,Bhad Bhabie,2020-03-10
652,0,24,Bhad Bhabie,2020-03-11
653,0,28,Bhad Bhabie,2020-03-12
654,0,28,Bhad Bhabie,2020-03-13
